Gene_name	Species_name	GC_Stretch
ADAP2	Phasianus_colchicus	4.46753246753247
ADAP2	Mustela_putorius_furo	4.13924050632911
ADAP2	Cygnus_atratus	4.42857142857143
ADAP2	Bos_javanicus	4.07792207792208
ADAP2	Neogale_vison	4.19767441860465
ADAP2	Cinclus_cinclus	3.76086956521739
ADAP2	Colobus_angolensis_palliatus	4.4113475177305
ADAP2	Panthera_onca	4.29333333333333
ADAP2	Echinops_telfairi	4
ADAP2	Alexandromys_fortis	4.36144578313253
ADAP2	Microcebus_murinus	4.34666666666667
ADAP2	Prionailurus_viverrinus	4.32
ADAP2	Cariama_cristata	3.49019607843137
ADAP2	Empidonax_traillii	3.8030303030303
ADAP2	Symphalangus_syndactylus	4.51764705882353
ADAP2	Sturnus_vulgaris	3.64444444444444
ADAP2	Cyanistes_caeruleus	3.41860465116279
ADAP2	Callorhinus_ursinus	4.13157894736842
ADAP2	Phacochoerus_africanus	4.19565217391304
ADAP2	Mauremys_mutica	4.13333333333333
ADAP2	Falco_naumanni	3.83333333333333
ADAP2	Rattus_norvegicus	3.86746987951807
ADAP2	Nannospalax_galili	3.98717948717949
ADAP2	Hirundo_rustica	3.68518518518519
ADAP2	Calypte_anna	3.97959183673469
ADAP2	Lemur_catta	4.26829268292683
ADAP2	Ochotona_curzoniae	4
ADAP2	Saccopteryx_bilineata	4.1264367816092
ADAP2	Balaenoptera_ricei	4.14285714285714
ADRA1B	Phocoena_sinus	4.99166666666667
ADRA1B	Pygoscelis_adeliae	3.61016949152542
ADRA1B	Theropithecus_gelada	5.02459016393443
ADRA1B	Otolemur_garnettii	4.975
ADRA1B	Macaca_nemestrina	4.88461538461539
ADRA1B	Manis_pentadactyla	5.35245901639344
ADRA1B	Colius_striatus	3.62068965517241
ADRA1B	Ursus_maritimus	5.1219512195122
ADRA1B	Anas_platyrhynchos	3.58333333333333
ADRA1B	Tyto_alba	3.52631578947368
ADRA1B	Canis_lupus_familiaris	5.36507936507936
ADRA1B	Aphelocoma_coerulescens	4.17977528089888
ADRA1B	Dipodomys_spectabilis	5.93333333333333
ADRA1B	Odocoileus_virginianus	5.08403361344538
ADRA1B	Camelus_ferus	5.42735042735043
ADRA1B	Eubalaena_glacialis	5.14166666666667
ADRA1B	Mus_musculus	4.45967741935484
ADRA1B	Globicephala_melas	4.93333333333333
ADRA1B	Anomalospiza_imberbis	4.26041666666667
ADRA1B	Fukomys_damarensis	4.04
ADRA1B	Camelus_dromedarius	5.39655172413793
ADRA1B	Propithecus_coquereli	4.89763779527559
ADRA1B	Sciurus_carolinensis	5.18852459016393
ADRA1B	Rhinatrema_bivittatum	4.21739130434783
ADRA1B	Piliocolobus_tephrosceles	4.98360655737705
ADRA1B	Pelecanus_crispus	3.609375
ADRA1B	Apus_apus	3.43548387096774
ADRA1B	Prinia_subflava	4.41666666666667
ADRA1B	Phocoena_phocoena	5.02521008403361
ADRA1B	Eleutherodactylus_coqui	3.47272727272727
ADRA1B	Orycteropus_afer_afer	4.83193277310924
ADRA1B	Melospiza_georgiana	4.44554455445545
ADRA1B	Poecile_atricapillus	4.15
ADRA1B	Pipistrellus_kuhlii	5.24
ADRA1B	Lutra_lutra	4.93700787401575
ADRA1B	Phascolarctos_cinereus	3.7979797979798
ADRA1B	Mesoplodon_densirostris	5.10743801652893
ADRA1B	Nipponia_nippon	3.60606060606061
ADRA1B	Manacus_candei	3.51351351351351
ADRA1B	Cervus_canadensis	5.14529914529915
ADRA1B	Haliaeetus_albicilla	3.48484848484848
ADRA1B	Anas_acuta	3.6
ADRA1B	Corvus_brachyrhynchos	3.80821917808219
ADRA1B	Kogia_breviceps	5.18487394957983
ADRA1B	Trichosurus_vulpecula	3.71
