Gene_name	Group	Species_name	GC_content	GC_Stretch
tnip2	Actinopterygii	Scophthalmus_maximus	62.96	 4.39252336448598
tnip2	Actinopterygii	Morone_saxatilis	53.87	 3.675
tnip2	Actinopterygii	Megalops_cyprinoides	59.20	 4.49484536082474
tnip2	Actinopterygii	Colossoma_macropomum	52.98	 3.84931506849315
tnip2	Actinopterygii	Acanthopagrus_latus	54.20	 3.9
tnip2	Actinopterygii	Syngnathus_acus	60.27	 4.20192307692308
tnip2	Actinopterygii	Pungitius_pungitius	62.96	 4.67619047619048
tnip2	Actinopterygii	Nematolebias_whitei	56.79	 3.95180722891566
tnip2	Actinopterygii	Sebastes_umbrosus	54.92	 3.875
tnip2	Actinopterygii	Cyprinodon_tularosa	55.58	 3.84705882352941
tnip2	Actinopterygii	Micropterus_salmoides	52.51	 3.72727272727273
tnip2	Actinopterygii	Pimephales_promelas	49.63	 3.7887323943662
tnip2	Actinopterygii	Polypterus_senegalus	62.69	 4.62376237623762
tnip2	Actinopterygii	Perca_fluviatilis	55.63	 4.01204819277108
tnip2	Actinopterygii	Simochromis_diagramma	53.02	 3.67948717948718
tnip2	Actinopterygii	Xiphias_gladius	54.61	 3.79012345679012
tnip2	Actinopterygii	Gasterosteus_aculeatus	63.09	 4.70588235294118
tnip2	Actinopterygii	Toxotes_jaculatrix	50.50	 3.58904109589041
tnip2	Actinopterygii	Cheilinus_undulatus	52.56	 3.80555555555556
tnip2	Actinopterygii	Chelmon_rostratus	54.10	 3.77631578947368
tnip2	Actinopterygii	Melanotaenia_boesemani	50.58	 3.66153846153846
tnip2	Actinopterygii	Alosa_sapidissima	54.93	 4.20779220779221
tnip2	Actinopterygii	Thunnus_maccoyii	51.86	 3.70769230769231
tnip2	Actinopterygii	Plectropomus_leopardus	53.63	 3.68831168831169
tnip2	Actinopterygii	Puntigrus_tetrazona	52.09	 3.93506493506493
tnip2	Actinopterygii	Solea_senegalensis	54.00	 3.75714285714286
tnip2	Actinopterygii	Gambusia_affinis	61.73	 4.63157894736842
tnip2	Actinopterygii	Siniperca_chuatsi	52.53	 3.64788732394366
tnip2	Actinopterygii	Thunnus_albacares	51.86	 3.70769230769231
tnip2	Actinopterygii	Micropterus_dolomieu	52.51	 3.69620253164557
tnip2	Actinopterygii	Oncorhynchus_gorbuscha	52.64	 3.72222222222222
tnip2	Actinopterygii	Scatophagus_argus	52.01	 3.49275362318841
tnip2	Actinopterygii	Silurus_meridionalis	54.87	 4
tnip2	Actinopterygii	Hypomesus_transpacificus	51.68	 3.72222222222222
tnip2	Actinopterygii	Girardinichthys_multiradiatus	55.41	 3.88461538461538
tnip2	Actinopterygii	Mugil_cephalus	56.27	 3.9873417721519
tnip2	Actinopterygii	Megalobrama_amblycephala	50.04	 4.02702702702703
tnip2	Actinopterygii	Alosa_alosa	54.72	 4.21052631578947
tnip2	Actinopterygii	Brienomyrus_brachyistius	57.73	 4.51898734177215
tnip2	Actinopterygii	Epinephelus_fuscoguttatus	55.09	 3.68918918918919
tnip2	Actinopterygii	Syngnathus_scovelli	60.12	 4.22115384615385
tnip2	Actinopterygii	Epinephelus_moara	54.88	 3.73972602739726
tnip2	Actinopterygii	Labeo_rohita	50.52	 3.85333333333333
tnip2	Actinopterygii	Dicentrarchus_labrax	53.70	 3.51764705882353
tnip2	Actinopterygii	Myxocyprinus_asiaticus	48.88	 3.75
tnip2	Actinopterygii	Ctenopharyngodon_idella	50.45	 3.98666666666667
tnip2	Actinopterygii	Hippocampus_zosterae	60.91	 4.3
tnip2	Actinopterygii	Xyrauchen_texanus	48.88	 3.81967213114754
tnip2	Actinopterygii	Carassius_gibelio	51.22	 3.94736842105263
tnip2	Actinopterygii	Scomber_japonicus	52.05	 3.49230769230769
tnip2	Actinopterygii	Pleuronectes_platessa	60.25	 4.10989010989011
tnip2	Actinopterygii	Clarias_gariepinus	53.33	 3.86111111111111
tnip2	Actinopterygii	Ictalurus_furcatus	55.87	 3.87654320987654
tnip2	Actinopterygii	Synchiropus_splendidus	57.05	 3.97530864197531
tnip2	Actinopterygii	Anoplopoma_fimbria	56.82	 3.91139240506329
