Group	Class	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Squamata	Lepidosauria	Squamata	Varanus_komodoensis	Varanus_komodoensis	501	17264	52942	88949	122195	478	36156	72163	105409	2581	38588	71834	1684	34930	1168
Squamata	Lepidosauria	Squamata	Zootoca_vivipara	Zootoca_vivipara	0	16741	55017	117670	199286	372	38648	101301	182917	2986	65639	147255	376	81992	82
Mammalia	Mammalia	Carnivora	Acinonyx_jubatus	Acinonyx_jubatus	296	27985	160781	186101	293837	219	133015	158335	266071	75986	101306	209042	1540	109276	5911
Mammalia	Mammalia	Rodentia	Acomys_russatus	Acomys_russatus	92	40500	144389	162901	277527	214	104103	122615	237241	63468	81980	196606	1457	116083	7620
Mammalia	Mammalia	Carnivora	Ailuropoda_melanoleuca	Ailuropoda_melanoleuca	1345	27097	142454	162427	265823	215	115572	135545	238941	67007	86980	190376	5619	109015	2707
Mammalia	Mammalia	Rodentia	Alexandromys_fortis	Alexandromys_fortis	281	33595	133416	155466	265580	225	100046	122096	232210	60403	82453	192567	1074	111188	4001
Mammalia	Mammalia	Primates	Aotus_nancymaae	Aotus_nancymaae	296	35847	164278	190121	319299	266	128697	154540	283718	78824	104667	233845	1576	130754	4297
Mammalia	Mammalia	Rodentia	Apodemus_sylvaticus	Apodemus_sylvaticus	238	35104	143606	164829	273898	215	108717	129940	239009	71967	93190	202259	897	109966	9544
Mammalia	Mammalia	Chiroptera	Artibeus_jamaicensis	Artibeus_jamaicensis	298	26763	147403	165870	264492	251	120891	139358	237980	71198	89665	188287	1220	99842	4619
Mammalia	Mammalia	Rodentia	Arvicanthis_niloticus	Arvicanthis_niloticus	228	33199	138868	159940	272182	230	105899	126971	239213	67405	88477	200719	897	113139	9430
Mammalia	Mammalia	Rodentia	Arvicola_amphibius	Arvicola_amphibius	0	12663	114159	135740	257417	0	101463	123044	244721	62594	84175	205852	1507	123184	6398
Mammalia	Mammalia	Artiodactyla	Balaenoptera_acutorostrata	Balaenoptera_acutorostrata	295	28307	149887	172761	378178	253	121833	144707	350124	71421	94295	299712	1423	206840	106675
Mammalia	Mammalia	Artiodactyla	Balaenoptera_musculus	Balaenoptera_musculus	297	27351	144668	167765	372188	266	117583	140680	345103	69739	92836	297259	1615	206038	106281
Mammalia	Mammalia	Artiodactyla	Balaenoptera_ricei	Balaenoptera_ricei	296	27734	147064	168435	361269	268	119598	140969	333803	71693	93064	285898	1635	194469	94720
Mammalia	Mammalia	Artiodactyla	Bos_indicus	Bos_indicus	254	25646	132790	155298	38106792	223	107367	129875	38123859	68210	90718	38149251	1055	38256395	38278903
Mammalia	Mammalia	Artiodactyla	Bos_javanicus	Bos_javanicus	254	25658	132789	155233	37944616	238	107369	129813	37962737	68252	90696	37988141	1089	38095272	38117716
Mammalia	Mammalia	Artiodactyla	Bos_mutus	Bos_mutus	286	25735	134033	155285	38166070	220	108518	129770	38183141	69320	90572	38208590	815	38316888	38338140
Mammalia	Mammalia	Artiodactyla	Bubalus_bubalis	Bubalus_bubalis	254	25512	132919	155414	38013863	205	107612	130107	38032178	68485	90980	38057436	1052	38164843	38187338
Mammalia	Mammalia	Artiodactyla	Bubalus_kerabau	Bubalus_kerabau	0	25514	135017	155439	38098410	208	109711	130133	38114036	70576	90998	38141998	1002	38251501	38271923
Mammalia	Mammalia	Artiodactyla	Budorcas_taxicolor	Budorcas_taxicolor	0	25148	132854	153394	37892431	274	107980	128520	37902722	68688	89228	37931312	1080	38039018	38059558
Mammalia	Mammalia	Primates	Callithrix_jacchus	Callithrix_jacchus	295	35780	166336	192044	320992	0	130536	156244	285192	82758	108466	237414	1337	130285	3233
Mammalia	Mammalia	Carnivora	Callorhinus_ursinus	Callorhinus_ursinus	307	27127	141140	162132	267883	212	114225	135217	240968	71257	92249	198000	1974	107725	4103
Mammalia	Mammalia	Artiodactyla	Camelus_bactrianus	Camelus_bactrianus	968	24199	122470	144513	289882	250	98521	120564	265933	54264	76307	221676	6336	151705	51474
Mammalia	Mammalia	Artiodactyla	Camelus_ferus	Camelus_ferus	0	23610	121960	144271	287533	254	98604	120915	264177	54306	76617	219879	972	144234	49080
Mammalia	Mammalia	Carnivora	Canis_lupus_dingo	Canis_lupus_dingo	301	27486	149916	172735	279725	31	122461	145280	252270	69212	92031	199021	1411	108401	6461
Mammalia	Mammalia	Carnivora	Canis_lupus_familiaris	Canis_lupus_familiaris	301	27453	149964	172986	280580	217	122728	145750	253344	69237	92259	199853	1441	109035	6751
Mammalia	Mammalia	Artiodactyla	Capra_hircus	Capra_hircus	252	25657	133693	154405	38106819	267	108303	129015	38123580	69055	89767	38148985	1065	38257021	38277733
Mammalia	Mammalia	Rodentia	Cavia_porcellus	Cavia_porcellus	249	28080	140225	161628	271141	182	112327	133730	243243	65668	87071	196584	1280	110793	7484
Mammalia	Mammalia	Perissodactyla	Ceratotherium_simum_simum	Ceratotherium_simum_simum	299	26062	148307	170361	279176	241	122486	144540	253355	70736	92790	201605	1707	110522	5629
Mammalia	Mammalia	Primates	Cercocebus_atys	Cercocebus_atys	296	42734	179896	207489	328868	0	136436	164029	285408	82091	109684	231063	1402	122781	6538
Mammalia	Mammalia	Artiodactyla	Cervus_canadensis	Cervus_canadensis	254	25302	140690	161105	30349991	217	115605	136020	30366328	76726	97141	30391376	1009	30506764	30527179
Mammalia	Mammalia	Artiodactyla	Cervus_elaphus	Cervus_elaphus	254	25288	141908	162322	36652829	215	116835	137249	36669140	77952	98366	36694174	942	36810794	36831208
Mammalia	Mammalia	Rodentia	Chinchilla_lanigera	Chinchilla_lanigera	4	29174	150854	172567	289276	215	121895	143608	260317	71875	93588	210297	5759	122468	10426
