Group	IL34_status	Order	Species_name	Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Mammalia	1		Chrysochloris_asiatica	Chrysochloris_asiatica	1913	33872	168177	189112	324241	359	134664	155599	290728	84138	105073	240202	1751	136880	8181
Mammalia	1	Dermoptera	Cynocephalus_volans	Cynocephalus_volans	267	25957	135422	162334	273163	355	109820	136732	247561	68739	95651	206480	5500	116329	5412
Mammalia	1	Artiodactyla	Dama_dama	Dama_dama	158	25046	140606	160945	36609608	258	115818	136157	36625580	76856	97195	36650468	1133	36766028	36786367
Mammalia	1	Cingulata	Dasypus_novemcinctus	Dasypus_novemcinctus	0	27399	164132	189107	309970	212	136945	161920	282783	78581	103556	224419	6452	127315	6399
Mammalia	1	Artiodactyla	Delphinapterus_leucas	Delphinapterus_leucas	300	28090	141519	161831	362087	259	113688	134000	334256	66911	87223	287479	1286	201542	102481
Mammalia	1	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	296	23808	132405	151056	249439	255	108852	127503	225886	67314	85965	184348	1268	99651	4577
Mammalia	1	Perissodactyla	Diceros_bicornis_minor	Diceros_bicornis_minor	803	26577	147669	169755	279584	289	121381	143467	253296	70607	92693	202522	1777	111606	5702
Mammalia	1	Rodentia	Dipodomys_merriami	Dipodomys_merriami	231	24753	120844	138102	233777	0	95863	113121	208796	55084	72342	168017	5297	100972	3270
Mammalia	1	Rodentia	Dipodomys_ordii	Dipodomys_ordii	239	23082	115791	133491	229246	276	92985	110685	206440	51860	69560	165315	4931	100686	3815
Mammalia	1	Rodentia	Dipodomys_spectabilis	Dipodomys_spectabilis	237	23856	119248	140927	234217	220	95612	117291	210581	53363	75042	168332	4749	98039	3333
Mammalia	1	Microbiotheria	Dromiciops_gliroides	Dromiciops_gliroides	0	33365	199375	242941	382376	500	166510	210076	349511	127845	171411	310846	2622	142057	9709
Mammalia	1		Echinops_telfairi	Echinops_telfairi	937	32533	160273	181175	275880	297	128037	148939	243644	80282	101184	195889	5145	99850	3143
Mammalia	1	Macroscelidea	Elephantulus_edwardii	Elephantulus_edwardii	2834	32265	156319	176869	287649	1519	125573	146123	256903	70382	90932	201712	1716	112496	4172
Mammalia	1	Proboscidea	Elephas_maximus_indicus	Elephas_maximus_indicus	64	30375	167062	190328	387234	255	136942	160208	357114	82122	105388	302294	1421	198327	93619
Mammalia	1	Chiroptera	Eptesicus_fuscus	Eptesicus_fuscus	286	31302	155259	171822	270373	470	124427	140990	239541	75223	91786	190337	1765	100316	3110
Mammalia	1	Perissodactyla	Equus_asinus	Equus_asinus	0	24916	144924	167419	274110	210	120218	142713	249404	67633	90128	196819	1446	108137	1963
Mammalia	1	Perissodactyla	Equus_caballus	Equus_caballus	302	24951	144676	167254	319885	0	119709	142287	294918	67407	89985	242616	1452	154083	48235
Mammalia	1	Perissodactyla	Equus_przewalskii	Equus_przewalskii	302	24950	144701	167194	276257	0	119735	142228	251291	67432	89925	198988	1451	110514	4681
Mammalia	1	Perissodactyla	Equus_quagga	Equus_quagga	301	24940	146379	171869	277270	261	121700	147190	252591	68928	94418	199819	5740	111141	4735
Mammalia	1		Erinaceus_europaeus	Erinaceus_europaeus	207	36232	185336	215036	351082	204	149308	179008	315054	100192	129892	265938	1018	137064	10008
Mammalia	1	Artiodactyla	Eschrichtius_robustus	Eschrichtius_robustus	296	27648	147087	168758	380946	279	119718	141389	353577	72138	93809	305997	1621	213809	113993
Mammalia	1	Artiodactyla	Eubalaena_glacialis	Eubalaena_glacialis	304	26938	147152	168537	370124	293	120507	141892	343479	73851	95236	296823	1694	203281	102809
Mammalia	1	Primates	Eulemur_rufifrons	Eulemur_rufifrons	342	28605	130080	151903	258756	2896	104371	126194	233047	58779	80602	187455	6380	113233	6838
Mammalia	1	Carnivora	Eumetopias_jubatus	Eumetopias_jubatus	307	27635	141358	162259	268659	206	113929	134830	241230	71035	91936	198336	2150	108550	5034
Mammalia	1	Carnivora	Felis_catus	Felis_catus	296	27887	165324	190586	297676	204	137641	162903	269993	67932	93194	200284	1570	108660	5914
Mammalia	1	Rodentia	Fukomys_damarensis	Fukomys_damarensis	484	32077	150061	167917	273449	237	118221	136077	241609	72143	89999	195531	5515	111047	5439
Mammalia	1	Artiodactyla	Globicephala_melas	Globicephala_melas	0	27978	139802	161553	394949	269	112093	133844	367240	65010	86761	320157	520	233916	134632
Mammalia	1	Primates	Gorilla_gorilla_gorilla	Gorilla_gorilla_gorilla	298	42596	185099	211434	331557	0	142273	168608	288731	93754	120089	240212	1609	121732	6113
Mammalia	1	Didelphimorphia	Gracilinanus_agilis	Gracilinanus_agilis	293	44466	215164	256573	388993	6864	177562	218971	351391	133349	174758	307178	26701	159121	13331
Mammalia	1	Rodentia	Grammomys_surdaster	Grammomys_surdaster	249	32735	130980	152922	263034	228	98473	120415	230527	62281	84223	194335	1080	111192	9092
