Group	IL34_status	Order	Species_name	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Mammalia	Intact	Artiodactyla	Hippopotamus_amphibius_kiboko	267	27131	133745	155993	342415	261	106875	129123	315545	64579	86827	273249	1575	187997	91299
Mammalia	Intact	Primates	Hylobates_moloch	312	39562	174271	198148	317893	353	135062	158939	278684	83870	107747	227492	3393	123138	6862
Mammalia	Intact	Rodentia	Jaculus_jaculus	573	43030	231178	256321	396580	252	188400	213543	353802	126919	152062	292321	1311	141570	8961
Mammalia	Intact	Artiodactyla	Lagenorhynchus_albirostris	300	30557	143586	164104	379042	2818	115847	136365	351303	58481	78999	293937	8506	223444	117041
Mammalia	Intact	Primates	Lemur_catta	298	27103	127810	149410	361858	269	100976	122576	335024	57430	79030	291478	1408	213856	113647
Mammalia	Intact	Carnivora	Leopardus_geoffroyi	297	28163	160264	186129	293186	224	132325	158190	265247	73684	99549	206606	2058	109115	4922
Mammalia	Intact	Lagomorpha	Lepus_europaeus	1063	36071	165328	187162	293552	255	129512	151346	257736	70833	92667	199057	1403	107793	5244
Mammalia	Intact	Proboscidea	Loxodonta_africana	0	30284	168466	190369	296633	245	138427	160330	266594	83583	105486	211750	1651	107915	2993
Mammalia	Intact	Carnivora	Lutra_lutra	303	29456	140452	163631	267608	234	111230	134409	238386	67244	90423	194400	1331	105308	4822
Mammalia	Intact	Carnivora	Lynx_canadensis	298	28485	161971	187323	294705	275	133761	159113	266495	85998	111350	218732	1648	109030	4934
Mammalia	Intact	Carnivora	Lynx_rufus	297	28242	162807	188276	296102	299	134864	160333	268159	86801	112270	220096	1661	109487	5951
Mammalia	Intact	Primates	Macaca_fascicularis	299	40418	179623	206227	328558	260	139465	166069	288400	85407	112011	234342	1383	123714	7020
Mammalia	Intact	Primates	Macaca_mulatta	297	40680	178923	205645	327050	217	138460	165182	286587	85081	111803	233208	1540	122945	6578
Mammalia	Intact	Primates	Macaca_nemestrina	299	40598	177649	204282	326263	226	137277	163910	285891	83309	109942	231923	1573	123554	6661
Mammalia	Intact	Primates	Macaca_thibetana_thibetana	302	40603	179717	206312	328212	236	139350	165945	287845	85280	111875	233775	1403	123303	6567
Mammalia	Intact	Pholidota	Manis_pentadactyla	94	23351	146617	169774	275064	192	123458	146615	251905	62271	85428	190718	1395	106685	3504
Mammalia	Intact	Rodentia	Marmota_flaviventris	284	30042	148938	171530	286523	283	119179	141771	256764	70029	92621	207614	1444	116437	6183
Mammalia	Intact	Rodentia	Marmota_monax	284	30001	148643	172055	279306	291	118933	142345	249596	69751	93163	200414	1987	109238	5044
Mammalia	Intact	Carnivora	Meles_meles	306	27365	137379	160771	264979	245	110259	133651	237859	65599	88991	193199	1472	105680	4613
Mammalia	Intact	Rodentia	Meriones_unguiculatus	255	35399	132136	152436	265260	217	96954	117254	230078	61052	81352	194176	992	113816	6897
Mammalia	Intact	Rodentia	Mesocricetus_auratus	260	33192	140453	162635	281263	220	107481	129663	248291	68540	90722	209350	1056	119684	8805
Mammalia	Intact	Artiodactyla	Mesoplodon_densirostris	320	28465	146460	169458	372227	274	118269	141267	344036	70333	93331	296100	1632	204401	108073
Mammalia	Intact	Primates	Microcebus_murinus	294	28838	148999	169710	273860	212	120373	141084	245234	64974	85685	189835	4866	109016	4987
Mammalia	Intact	Rodentia	Microtus_oregoni	138	35151	137247	159413	282003	131	102227	124393	246983	61109	83275	205865	595	123185	6394
Mammalia	Intact	Carnivora	Mirounga_angustirostris	304	27743	140044	162961	268455	0	112264	135181	240675	68573	91490	196984	8411	113905	5204
Mammalia	Intact	Chiroptera	Molossus_molossus	328	31575	164400	182858	294402	269	133094	151552	263096	81442	99900	211444	6252	117796	13263
Mammalia	Intact	Artiodactyla	Monodon_monoceros	119	28195	141067	162024	372159	336	113208	134165	344300	66378	87335	297470	1605	211740	112454
Mammalia	Intact	Artiodactyla	Moschus_berezovskii	1063	25539	139064	160346	38621062	240	113765	135047	38636633	71637	92919	38661109	916	38774634	38795916
Mammalia	Intact	Rodentia	Mus_musculus	223	35511	141057	162059	272204	0	105201	126203	236348	69092	90094	200239	1079	111224	8315
Mammalia	Intact	Carnivora	Mustela_erminea	289	27756	137130	159975	264249	240	109614	132459	236733	66222	89067	193341	1486	105760	4860
Mammalia	Intact	Carnivora	Mustela_lutreola	305	27583	136535	159113	261755	231	109183	131761	234403	66704	89282	191924	1508	104150	3957
Mammalia	Intact	Carnivora	Mustela_putorius_furo	305	27176	135533	158058	260293	222	108579	131104	233339	66424	88949	191184	1496	103731	3928
Mammalia	Intact	Chiroptera	Myotis_myotis	873	28562	148676	166690	264206	2221	122335	140349	237865	76409	94423	191939	5609	103125	2717
Mammalia	Intact	Chiroptera	Myotis_yumanensis	295	28797	151005	169058	268783	274	122482	140535	240260	77747	95800	195525	1111	100836	2005
Mammalia	Intact	Carnivora	Neofelis_nebulosa	296	28235	163575	188835	298001	244	135584	160844	270010	87605	112865	222031	1467	110633	6208
Mammalia	Intact	Carnivora	Neogale_vison	291	26421	134949	157985	261553	267	108795	131831	235399	65612	88648	192216	1492	105060	4759
Mammalia	Intact	Carnivora	Nyctereutes_procyonoides	301	28077	152326	174937	281812	270	124519	147130	254005	69395	92006	198881	1371	108246	6453
Mammalia	Intact	Primates	Nycticebus_coucang	288	37806	180629	205456	311790	242	143065	167892	274226	85548	110375	216709	1249	107583	7874
