species	gene_status	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Spea_bombifrons	1	0	10180	35322	60960	248069	39	25181	50819	237928	13978	39616	226725	2267	189376	174803
Sphaerodactylus_townsendi	0	331	16473	52575	134178	241623	0	35963	117566	225011	622	82225	189670	3936	111381	2442
Strigops_habroptila	1	352	17985	69587	78966	143596	0	51000	60379	125009	22844	32223	96853	1531	66161	392
Struthio_camelus	1	405	18286	70066	96236	206838	0	51664	77834	188436	19052	45222	155824	3510	114112	173
Suncus_etruscus	1	0	34030	153844	173658	239964	4016	123830	143644	209950	66954	86768	153074	1207	67513	6121
Suricata_suricatta	1	294	29507	142436	163399	267932	290	113219	134182	238715	66643	87606	192139	1173	105706	4859
Sus_scrofa	1	296	31939	167808	191220	402696	78	135947	159359	370835	81708	105120	316596	1490	212966	104031
Symphalangus_syndactylus	1	299	40202	176884	200750	319988	0	136591	160457	279695	86451	110317	229555	1395	120633	5603
Tachyglossus_aculeatus	1	1356	33514	144442	196651	382701	114	111042	163251	349301	70672	122881	308931	11012	197062	8606
Thamnophis_elegans	0	1279	17446	57837	120894	164590	13	40404	103461	147157	0	62966	106662	540	44236	86
Theropithecus_gelada	1	293	43839	181290	213210	336051	229	137680	169600	292441	82455	114375	237216	6597	129438	6862
Trichosurus_vulpecula	1	268	31885	186926	226612	379239	465	155506	195192	347819	121507	161193	313820	2645	155272	14758
Tursiops_truncatus	1	299	28007	140778	162014	377145	257	113028	134264	349395	64521	85757	300888	108	215239	117226
Vulpes_lagopus	1	302	24246	155119	177509	284822	253	131126	153516	260829	78187	100577	207890	1207	108520	6225
Xenopus_tropicalis	1	595	20171	142552	238161	332737	0	122367	217976	312552	81375	176984	271560	27305	121881	9610
Zalophus_californianus	1	285	27354	139069	161549	267656	12	111727	134207	240314	68872	91352	197459	1582	107689	4075
Zootoca_vivipara	0	0	16741	55017	117670	199286	372	38648	101301	182917	2986	65639	147255	376	81992	82
