Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	left_gene
C11orf74	Aves	Passeriformes	Taeniopygia_guttata	436820	565727	0.772139 RAG2	RAG2
C11orf74	Reptilia	Testudines	Terrapene_carolina	255459	565727	0.451559 RAG2	RAG2
CAV3	Aves	Anseriformes	Anas_platyrhynchos	20869	23267	0.896936 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Anolis_carolinensis	1600	23267	0.0687669 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Anolis_sagrei	1671	23267	0.0718185 LMCD1	LMCD1
CAV3	Aves	Anseriformes	Anser_brachyrhynchus	21014	23267	0.903168 LMCD1	LMCD1
CAV3	Aves	Accipitriformes	Aquila_chrysaetos	21342	23267	0.917265 LMCD1	LMCD1
CAV3	Reptilia	Testudines	Chelonoidis_abingdonii	8961	23267	0.385138 LMCD1	LMCD1
CAV3	Reptilia	Testudines	Chrysemys_picta	8870	23267	0.381227 LMCD1	LMCD1
CAV3	Aves	Galliformes	Coturnix_japonica	22916	23267	0.984914 LMCD1	LMCD1
CAV3	Reptilia	Crocodylia	Crocodylus_porosus	5904	23267	0.25375 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Eublepharis_macularius	2549	23267	0.109554 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Euleptes_europaea	2483	23267	0.106718 LMCD1	LMCD1
CAV3	Aves	Passeriformes	Ficedula_albicollis	11087	23267	0.476512 LMCD1	LMCD1
CAV3	Aves	Passeriformes	Geospiza_fortis	11948	23267	0.513517 LMCD1	LMCD1
CAV3	Reptilia	Testudines	Gopherus_evgoodei	8445	23267	0.36296 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Laticauda_laticaudata	1064	23267	0.04573 LMCD1	LMCD1
CAV3	Actinistia	Coelacanthiformes	Latimeria_chalumnae	1036	23267	0.0445266 LMCD1	LMCD1
CAV3	Aves	Galliformes	Meleagris_gallopavo	22564	23267	0.969786 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Naja_naja	1074	23267	0.0461598 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Notechis_scutatus	1260	23267	0.054154 LMCD1	LMCD1
CAV3	Aves	Passeriformes	Parus_major	11186	23267	0.480767 LMCD1	LMCD1
CAV3	Reptilia	Testudines	Pelodiscus_sinensis	5905	23267	0.253793 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Podarcis_muralis	2190	23267	0.0941247 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Podarcis_raffonei	2112	23267	0.0907723 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Pogona_vitticeps_zw	1582	23267	0.0679933 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Pogona_vitticeps_zz	1791	23267	0.076976 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Pseudonaja_textilis	1157	23267	0.0497271 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Rhineura_floridana	1997	23267	0.0858297 LMCD1	LMCD1
CAV3	Lepidosauria	Squamata	Salvator_merianae	1945	23267	0.0835948 LMCD1	LMCD1
